@RELATION sensor  
@ATTRIBUTE Dias NUMERIC
@ATTRIBUTE Temp_sensor NUMERIC
@ATTRIBUTE Umid_sensor NUMERIC
@ATTRIBUTE Temp_ar NUMERIC
@ATTRIBUTE Umid_ar NUMERIC
@ATTRIBUTE Umid_lab NUMERIC

@DATA
001,23.00,512,24.00,58.97,56.08
001,23.67,442,24.00,58.90,56.64
001,23.33,419,24.00,58.30,55.89
001,23.33,397,24.00,58.40,56.01
001,24.33,447,24.00,58.17,56.86
020,25.00,484,24.00,58.80,44.71
020,24.00,458,24.00,58.87,43.88
020,24.33,462,24.00,58.37,45.49
020,24.33,435,24.00,58.23,44.58
020,23.67,427,24.00,57.43,44.24
040,25.00,485,24.00,57.37,29.63
040,24.67,457,24.00,57.67,29.74
040,25.00,455,24.00,58.23,30.29
040,24.67,505,24.00,57.50,29.50
040,25.00,508,24.00,57.70,30.05
060,24.67,646,24.00,65.17,17.20
060,23.67,626,24.00,65.17,18.38
060,24.00,618,24.00,65.33,18.55
060,23.67,612,24.00,65.07,18.72
060,24.00,621,24.00,64.80,19.74
080,24.67,624,24.00,64.97,19.02
080,25.00,618,24.00,64.80,19.31
080,24.67,611,24.00,64.60,19.48
080,24.67,624,24.00,63.97,19.36
080,25.00,621,24.00,64.27,19.64
100,25.00,613,24.00,64.03,21.93
100,25.00,604,24.00,63.73,21.99
100,24.67,590,24.00,63.57,21.91
100,24.67,583,24.00,64.17,23.18
100,25.67,616,24.00,64.47,22.78
120,25.67,600,25.00,64.13,20.50
120,25.33,587,25.00,63.30,21.13
120,25.33,612,25.00,63.50,21.16
120,25.67,598,25.00,64.07,20.52
120,26.00,609,25.00,64.07,19.90
001,26.33,551,25.00,63.67,48.76
001,26.00,560,25.00,64.23,49.61
001,26.33,540,25.00,64.00,50.19
001,26.00,549,26.00,63.83,47.60
001,26.00,557,25.00,63.17,48.03
020,26.00,528,25.00,64.47,48.82
020,26.00,520,25.00,64.97,48.15
020,25.67,516,25.00,64.17,47.51
020,26.00,478,26.00,64.17,49.13
020,25.67,456,26.00,63.77,48.79
040,26.00,586,25.00,66.83,29.74
040,26.00,597,25.00,67.10,27.94
040,26.00,562,25.00,66.93,27.91
040,26.00,581,25.00,66.97,26.43
040,26.00,577,25.00,67.23,28.47
060,26.00,631,25.00,66.47,18.12
060,26.00,621,25.00,66.47,19.13
060,26.00,623,25.00,67.10,19.99
060,26.33,619,25.00,67.50,21.19
060,26.00,594,25.00,67.40,21.37
080,26.00,612,25.00,67.60,18.72
080,26.67,585,25.00,67.47,21.14
080,26.00,608,25.00,67.50,21.74
080,26.00,605,25.00,67.70,22.51
080,26.00,597,25.00,67.53,18.75
100,26.67,627,25.00,67.80,14.92
100,27.00,609,25.00,67.80,15.35
100,26.67,633,25.00,67.87,16.75
100,26.33,618,25.00,67.80,15.93
100,26.67,606,25.00,66.70,17.27
120,25.67,639,24.00,58.57,18.22
120,25.67,649,24.00,58.30,18.60
120,26.00,644,24.00,57.77,18.57
120,26.00,640,24.00,57.23,16.27
120,26.00,649,24.00,57.40,18.51
001,25.33,600,24.00,57.70,47.82
001,25.33,576,24.00,57.30,45.35
001,25.67,612,24.00,57.30,46.17
001,26.00,583,24.00,57.30,47.04
001,25.67,541,24.00,57.10,46.03
020,25.00,498,24.00,57.00,44.56
020,25.00,511,24.00,57.20,48.33
020,25.00,531,24.67,57.27,46.67
020,25.33,502,25.00,57.20,46.34
020,25.00,531,25.00,57.33,45.89
040,25.33,618,24.34,57.60,24.16
040,25.67,610,25.00,58.20,23.62
040,26.00,605,25.00,57.63,26.05
040,26.00,620,24.00,57.87,25.68
040,25.67,624,24.34,57.77,25.20
060,25.00,654,23.00,66.17,22.19
060,24.67,654,24.00,65.30,23.40
060,24.33,656,24.00,64.30,22.36
060,25.00,654,24.00,64.60,23.97
060,24.67,653,24.00,64.73,22.65
080,24.67,649,24.00,64.50,26.50
080,23.67,648,24.00,64.17,24.98
080,23.00,645,24.00,65.03,26.02
080,23.33,644,24.00,65.27,26.57
080,23.67,651,24.00,65.20,26.98
100,17.33,630,24.00,65.53,30.84
100,24.00,632,24.00,66.13,30.91
100,23.67,639,24.00,66.37,31.65
100,24.00,636,24.00,64.87,30.28
100,24.00,634,24.00,65.07,30.16
120,25.00,657,24.00,64.97,21.61
120,25.00,657,24.00,64.53,22.19
120,26.00,656,24.00,64.90,23.09
120,26.00,654,24.00,65.50,22.53
120,25.67,656,24.00,65.87,21.21

